detail_id,detail_title
SFR-BA-005-0305,[디지털감사] 프로세스 유형 감사위원회 기능 제공
SFR-BA-005-0306,[디지털감사] 감사 프로세스 유형 사후관리 기능 제공
SFR-BA-005-0307,[디지털감사] 감사 프로세스 유형 이행관리 기능 제공
SFR-BA-005-0401,[디지털감사] 연구과제 관리나 SI업체 프로젝트 관리체계 수립
SFR-BA-005-0501,[디지털감사] 감사팀내 권한관리 단위업무 분석 체계 구축
SFR-BA-005-0601,[디지털감사] 입력 정상 여부 감사 검사 체계 구축
SFR-BA-006-0101,[디지털감사] 자료수집 과정 관리할 감사계획 기능 제공
SFR-BA-006-0102,[디지털감사] 개별 감사계획 감사실시 수립
SFR-BA-006-0103,[디지털감사] 자료수집계획서 개별 감사계획 작성 체계 수립
SFR-BA-006-0104,[디지털감사] 자료 개별 감사계획 수집 체계 구축
SFR-BA-006-0105,[디지털감사] 자료 등록 개별 감사계획 수집 체계 구축
SFR-BA-006-0106,[디지털감사] 수집 결과보고서 작성 감사계획 지원 체계 구축
SFR-BA-006-0107,[디지털감사] 제공하되 특히 예상 문제점 등록 기능 제공
SFR-BA-006-0108,[디지털감사] 문제점 향후 실지감사 감사계획 연계 체계 구축
SFR-BA-006-0109,[디지털감사] 결재 기획담당관실 검토 감사계획 확인 절차 수립
SFR-BA-006-0110,[디지털감사] 통합관리 예비관리번호 개별 감사계획 생성 기능 제공
SFR-BA-006-0111,[디지털감사] 서식 데이터연계 개별 감사계획 기능 제공
SFR-BA-007-0101,[디지털감사] 일정 출장내역 자료 실지감사 수집 체계 구축
SFR-BA-007-0201,[디지털감사] 이전부서 생산 전체문서 실지감사 열람 기능 제공
SFR-BA-007-0301,[디지털감사] 결재 받아 문서 실지감사 기능 제공
SFR-BA-007-0401,[디지털감사] 변경 후속처리 절차 실지감사 기능 제공
SFR-BA-008-0101,[디지털감사] 미지정 모두 자료요구 제출 기능 제공
SFR-BA-008-0102,[디지털감사] 감사팀 공유 저장공간 자료요구 등록 기능 제공
SFR-BA-008-0103,[디지털감사] 파일 대해서 SHA256 해시값 기능 제공
SFR-BA-008-0201,[디지털감사] 공유 담당자 재지정 자료요구 기능 제공
SFR-BA-008-0301,[디지털감사] 자동 파기 자료요구 제출 기능 제공
SFR-BA-009-0101,[디지털감사] 양식 작성 문서 결재 발송 기능 제공
SFR-BA-009-0201,[디지털감사] 제출 감사자료 전자감사관리시스템 정보관리 관리체계 수립
SFR-BA-009-0301,[디지털감사] 담당자 재지정 정보관리 기능 제공
SFR-BA-010-0102,[디지털감사] 현장감사 진행관리 출석 답변 수립
SFR-BA-010-0103,[디지털감사] 현장감사 진행관리 감사협조 수립
SFR-BA-010-0104,[디지털감사] 현장감사 진행관리 확인 절차 수립
SFR-BA-010-0105,[디지털감사] 금고 현장감사 진행관리 검사 체계 구축
SFR-BA-010-0106,[디지털감사] 현장감사 진행관리 봉인 수립
SFR-BA-010-0107,[디지털감사] 현장감사 진행관리 증거보존 조치 수립
SFR-BA-010-0108,[디지털감사] 금융거래정보 현장감사 진행관리 제출 절차 수립
SFR-BA-010-0109,[디지털감사] 등록재산 현장감사 진행관리 조회 기능 제공
